year	cumulative_intensity	type_of_conflict	incompatibility	region	lag_1_intensity	lag_2_intensity	lag_1_cumulative_intensity	conflict_age	gdp_growth	gdp_per_capita	inflation	internet_users_pct	population	trade_pct_gdp	unemployment	urban_population_pct	electoral_democracy	liberal_democracy	rule_of_law	liberal_component	participatory_component	freedom_expression_altinfo	freedom_association	civil_society_participation	regional_conflict_count	regional_high_intensity_count	regional_avg_intensity	regional_conflict_count_lag1	regional_conflict_growth	country_conflict_count	country_high_intensity_count	country_avg_intensity	country_conflict_count_lag1	country_high_intensity_lag1	country_conflict_growth	previous_conflict_years	previous_high_intensity_years	target_escalation_next_year	actual	predicted_probability	predicted_label	error_type
2011	1	3	2	3	1	1	1	47	3.858232828	2383.918925	4.718417047	29	98248614	60.7958367	3.592	46.68336325	0.524	0.413	0.712	0.751	0.639	0.882	0.769	0.874	7	0	1	8	-1	2	0	1	2	0	0	30	0	0	0	0.004304530258	0	True Negative
2012	1	3	2	3	1	1	1	48	6.896951711	2614.616444	3.026963911	30.79999924	100175512	57.84200551	3.504	47.91827848	0.524	0.413	0.712	0.751	0.639	0.882	0.769	0.874	7	0	1	7	0	2	0	1	2	0	0	31	0	0	0	0.003151168525	0	True Negative
2013	1	3	2	3	1	1	1	49	6.750531301	2781.279577	2.582687661	32.70000076	102076336	55.82478123	3.497	49.13136888	0.521	0.408	0.705	0.745	0.639	0.882	0.775	0.874	10	0	1	7	3	2	0	1	2	0	0	32	0	0	0	0.002369308035	0	True Negative
2014	1	3	2	3	1	1	1	50	6.347987483	2866.838038	3.597823439	34.70000076	103767130	57.46817209	3.6	50.23924002	0.521	0.408	0.705	0.745	0.639	0.882	0.78	0.874	10	0	1	10	0	2	0	1	2	0	0	33	0	0	0	0.00138233501	0	True Negative
2015	1	3	2	3	1	1	1	51	6.348309717	2909.85818	0.6741925368	36.90000153	105312992	59.14159211	3.068	51.15490477	0.522	0.409	0.703	0.753	0.641	0.88	0.78	0.884	10	0	1	10	0	2	0	1	2	0	0	34	0	0	0	0.0008917821624	0	True Negative
2016	1	3	2	3	1	1	1	52	7.14945675	2985.19564	1.253698801	39.20000076	106735719	61.77606577	2.695	51.91147482	0.485	0.346	0.632	0.653	0.623	0.772	0.747	0.823	13	0	1	10	3	3	0	1	2	0	1	35	0	0	0	0.0005478389173	0	True Negative
2017	1	3	2	3	1	1	1	53	6.930988326	3038.12125	2.853187726	41.59999847	108119693	68.16836974	2.552	52.60104824	0.469	0.321	0.574	0.608	0.614	0.75	0.718	0.792	12	0	1	13	-1	2	0	1	3	0	-1	36	0	0	0	0.0003850954707	0	True Negative
2018	1	3	2	3	1	1	1	54	6.341485572	3168.510366	5.309346616	44.09999847	109465287	72.1633983	2.338	53.20888975	0.45	0.295	0.543	0.57	0.605	0.706	0.688	0.771	14	0	1	12	2	3	0	1	2	0	1	37	0	0	0	0.0002159537836	0	True Negative
2019	1	3	2	3	1	1	1	55	6.118525662	3400.789498	2.392065344	43.02661187	110804683	68.84184226	2.237	53.71578599	0.428	0.28	0.515	0.566	0.623	0.656	0.679	0.819	11	0	1	14	-3	3	0	1	3	0	0	38	0	0	0	0.000247673556	0	True Negative
2020	1	3	2	3	1	1	1	56	-9.51829474	3227.579102	2.393162393	53.76490021	112081264	58.1695603	2.522	54.10777199	0.405	0.27	0.513	0.569	0.591	0.593	0.662	0.717	9	0	1	11	-2	2	0	1	3	0	-1	39	0	0	0	5.53E-05	0	True Negative
