feature_set	split_year	feature	coefficient	abs_coefficient
Conflict only	2000	year	0.1850917914	0.1850917914
Conflict only	2000	cumulative_intensity	0.04354610185	0.04354610185
Conflict only	2000	type_of_conflict	0.04143574096	0.04143574096
Conflict only	2000	incompatibility	0.1913525839	0.1913525839
Conflict only	2000	region	0.1113618396	0.1113618396
Conflict only	2000	lag_1_intensity	0.09870680428	0.09870680428
Conflict only	2000	lag_2_intensity	0.3217068459	0.3217068459
Conflict only	2000	lag_1_cumulative_intensity	0.199811483	0.199811483
Conflict only	2000	conflict_age	-0.1199480514	0.1199480514
Conflict only	2005	year	0.1210721047	0.1210721047
Conflict only	2005	cumulative_intensity	0.1387207068	0.1387207068
Conflict only	2005	type_of_conflict	0.03005756135	0.03005756135
Conflict only	2005	incompatibility	0.2523041255	0.2523041255
Conflict only	2005	region	0.05376538436	0.05376538436
Conflict only	2005	lag_1_intensity	0.1846450842	0.1846450842
Conflict only	2005	lag_2_intensity	0.2880290705	0.2880290705
Conflict only	2005	lag_1_cumulative_intensity	0.132187381	0.132187381
Conflict only	2005	conflict_age	-0.1703291336	0.1703291336
Conflict only	2010	year	-0.02962202191	0.02962202191
Conflict only	2010	cumulative_intensity	0.1500925978	0.1500925978
Conflict only	2010	type_of_conflict	0.05879061217	0.05879061217
Conflict only	2010	incompatibility	0.3193530897	0.3193530897
Conflict only	2010	region	0.005288733883	0.005288733883
Conflict only	2010	lag_1_intensity	0.2133490538	0.2133490538
Conflict only	2010	lag_2_intensity	0.2647478189	0.2647478189
Conflict only	2010	lag_1_cumulative_intensity	0.1248788313	0.1248788313
Conflict only	2010	conflict_age	-0.2494922861	0.2494922861
Conflict only	2015	year	-0.0212582268	0.0212582268
Conflict only	2015	cumulative_intensity	0.1252695249	0.1252695249
Conflict only	2015	type_of_conflict	0.07864042741	0.07864042741
Conflict only	2015	incompatibility	0.3141754079	0.3141754079
Conflict only	2015	region	-0.01794639348	0.01794639348
Conflict only	2015	lag_1_intensity	0.2084974771	0.2084974771
Conflict only	2015	lag_2_intensity	0.2802892174	0.2802892174
Conflict only	2015	lag_1_cumulative_intensity	0.1244744866	0.1244744866
Conflict only	2015	conflict_age	-0.3126007468	0.3126007468
Conflict + V-Dem lagged	2000	year	0.2831454803	0.2831454803
Conflict + V-Dem lagged	2000	cumulative_intensity	0.1029141794	0.1029141794
Conflict + V-Dem lagged	2000	type_of_conflict	0.01804093568	0.01804093568
Conflict + V-Dem lagged	2000	incompatibility	0.1647077183	0.1647077183
Conflict + V-Dem lagged	2000	region	0.07944500386	0.07944500386
Conflict + V-Dem lagged	2000	lag_1_intensity	0.09945696553	0.09945696553
Conflict + V-Dem lagged	2000	lag_2_intensity	0.2929860603	0.2929860603
Conflict + V-Dem lagged	2000	lag_1_cumulative_intensity	0.1026255665	0.1026255665
Conflict + V-Dem lagged	2000	conflict_age	-0.07116534279	0.07116534279
Conflict + V-Dem lagged	2000	electoral_democracy_lag1	-0.3958879988	0.3958879988
Conflict + V-Dem lagged	2000	liberal_democracy_lag1	-0.3906264484	0.3906264484
Conflict + V-Dem lagged	2000	rule_of_law_lag1	0.2453135679	0.2453135679
Conflict + V-Dem lagged	2000	liberal_component_lag1	-0.4671501751	0.4671501751
Conflict + V-Dem lagged	2000	participatory_component_lag1	0.4119240734	0.4119240734
Conflict + V-Dem lagged	2000	freedom_expression_altinfo_lag1	0.4901610087	0.4901610087
Conflict + V-Dem lagged	2000	freedom_association_lag1	0.2305400683	0.2305400683
Conflict + V-Dem lagged	2000	civil_society_participation_lag1	-0.4769140593	0.4769140593
Conflict + V-Dem lagged	2005	year	0.192285532	0.192285532
Conflict + V-Dem lagged	2005	cumulative_intensity	0.1959024862	0.1959024862
Conflict + V-Dem lagged	2005	type_of_conflict	0.008235777028	0.008235777028
Conflict + V-Dem lagged	2005	incompatibility	0.1970388733	0.1970388733
Conflict + V-Dem lagged	2005	region	-0.01213247009	0.01213247009
Conflict + V-Dem lagged	2005	lag_1_intensity	0.1891049105	0.1891049105
Conflict + V-Dem lagged	2005	lag_2_intensity	0.261109465	0.261109465
Conflict + V-Dem lagged	2005	lag_1_cumulative_intensity	0.02787667521	0.02787667521
Conflict + V-Dem lagged	2005	conflict_age	-0.1360628872	0.1360628872
Conflict + V-Dem lagged	2005	electoral_democracy_lag1	-0.2906557332	0.2906557332
Conflict + V-Dem lagged	2005	liberal_democracy_lag1	-0.4914434617	0.4914434617
Conflict + V-Dem lagged	2005	rule_of_law_lag1	0.0319903541	0.0319903541
Conflict + V-Dem lagged	2005	liberal_component_lag1	-0.3161475682	0.3161475682
Conflict + V-Dem lagged	2005	participatory_component_lag1	0.3768697005	0.3768697005
Conflict + V-Dem lagged	2005	freedom_expression_altinfo_lag1	0.4234098131	0.4234098131
Conflict + V-Dem lagged	2005	freedom_association_lag1	0.1059444201	0.1059444201
Conflict + V-Dem lagged	2005	civil_society_participation_lag1	-0.2060214292	0.2060214292
Conflict + V-Dem lagged	2010	year	-0.003993309295	0.003993309295
Conflict + V-Dem lagged	2010	cumulative_intensity	0.2031754068	0.2031754068
Conflict + V-Dem lagged	2010	type_of_conflict	0.04178874396	0.04178874396
Conflict + V-Dem lagged	2010	incompatibility	0.2471383924	0.2471383924
Conflict + V-Dem lagged	2010	region	-0.1029909748	0.1029909748
Conflict + V-Dem lagged	2010	lag_1_intensity	0.2209172479	0.2209172479
Conflict + V-Dem lagged	2010	lag_2_intensity	0.236171571	0.236171571
Conflict + V-Dem lagged	2010	lag_1_cumulative_intensity	0.04217328437	0.04217328437
Conflict + V-Dem lagged	2010	conflict_age	-0.1832099494	0.1832099494
Conflict + V-Dem lagged	2010	electoral_democracy_lag1	-0.2897415338	0.2897415338
Conflict + V-Dem lagged	2010	liberal_democracy_lag1	-0.3633500501	0.3633500501
Conflict + V-Dem lagged	2010	rule_of_law_lag1	-0.3135619682	0.3135619682
Conflict + V-Dem lagged	2010	liberal_component_lag1	-0.226807015	0.226807015
Conflict + V-Dem lagged	2010	participatory_component_lag1	0.230002513	0.230002513
Conflict + V-Dem lagged	2010	freedom_expression_altinfo_lag1	0.3827934636	0.3827934636
Conflict + V-Dem lagged	2010	freedom_association_lag1	0.1505930312	0.1505930312
Conflict + V-Dem lagged	2010	civil_society_participation_lag1	0.004942543726	0.004942543726
Conflict + V-Dem lagged	2015	year	-0.04581987863	0.04581987863
Conflict + V-Dem lagged	2015	cumulative_intensity	0.1933369673	0.1933369673
Conflict + V-Dem lagged	2015	type_of_conflict	0.05235055342	0.05235055342
Conflict + V-Dem lagged	2015	incompatibility	0.2529034239	0.2529034239
Conflict + V-Dem lagged	2015	region	-0.1576266302	0.1576266302
Conflict + V-Dem lagged	2015	lag_1_intensity	0.221345933	0.221345933
Conflict + V-Dem lagged	2015	lag_2_intensity	0.2397303256	0.2397303256
Conflict + V-Dem lagged	2015	lag_1_cumulative_intensity	0.04221791945	0.04221791945
Conflict + V-Dem lagged	2015	conflict_age	-0.2244349024	0.2244349024
Conflict + V-Dem lagged	2015	electoral_democracy_lag1	-0.3953011624	0.3953011624
Conflict + V-Dem lagged	2015	liberal_democracy_lag1	-0.2791521726	0.2791521726
Conflict + V-Dem lagged	2015	rule_of_law_lag1	-0.4959059098	0.4959059098
Conflict + V-Dem lagged	2015	liberal_component_lag1	-0.1798346621	0.1798346621
Conflict + V-Dem lagged	2015	participatory_component_lag1	0.2722252435	0.2722252435
Conflict + V-Dem lagged	2015	freedom_expression_altinfo_lag1	0.1904819215	0.1904819215
Conflict + V-Dem lagged	2015	freedom_association_lag1	0.3510288892	0.3510288892
Conflict + V-Dem lagged	2015	civil_society_participation_lag1	0.1179824938	0.1179824938
All leakage-safe features	2000	year	0.2676340987	0.2676340987
All leakage-safe features	2000	cumulative_intensity	0.1028812651	0.1028812651
All leakage-safe features	2000	type_of_conflict	0.01153439723	0.01153439723
All leakage-safe features	2000	incompatibility	0.126376328	0.126376328
