year	cumulative_intensity	type_of_conflict	incompatibility	region	lag_1_intensity	lag_2_intensity	lag_1_cumulative_intensity	conflict_age	gdp_growth	gdp_per_capita	inflation	internet_users_pct	population	trade_pct_gdp	unemployment	urban_population_pct	electoral_democracy	liberal_democracy	rule_of_law	liberal_component	participatory_component	freedom_expression_altinfo	freedom_association	civil_society_participation	regional_conflict_count	regional_high_intensity_count	regional_avg_intensity	regional_conflict_count_lag1	regional_conflict_growth	country_conflict_count	country_high_intensity_count	country_avg_intensity	country_conflict_count_lag1	country_high_intensity_lag1	country_conflict_growth	previous_conflict_years	previous_high_intensity_years	target_escalation_next_year	actual	predicted_probability	predicted_label	error_type
2015	1	3	1	2	1	1	1	30									0.388	0.23	0.503	0.48	0.575	0.352	0.7	0.526	3	0	1	2	1	2	0	1	1	0	1	21	0	1	1	0.5490808111	0	False Negative
2021	1	3	2	3	1	1	1	47	-12.01637248	1242.721344			53387102		4.34	30.23688125									15	0	1	9	6	4	0	1	1	0	3	25	0	1	1	0.5424605468	0	False Negative
2015	0	3	1	2				1									0.388	0.23	0.503	0.48	0.575	0.352	0.7	0.526	3	0	1	2	1	2	0	1	1	0	1	0	0	1	1	0.4912907505	0	False Negative
2012	1	3	2	2	1	1	1	17	13.93643017	6477.596185	6.089096416	7.099999905	33654842	73.60868459	7.965	69.22222137	0.41	0.25	0.369	0.505	0.564	0.602	0.697	0.677	3	0	1	3	0	1	0	1	1	0	0	10	0	1	1	0.4374515421	0	False Negative
2015	0	4	1	3				1	1.451314661	565.5697304	-0.6617091647	8.260000229	33831764		9.032	24.46491184	0.348	0.201	0.385	0.443	0.274	0.69	0.621	0.652	10	0	1	10	0	1	0	1	1	0	0	0	0	1	1	0.2347837002	0	False Negative
2012	1	4	2	4	1		0	2	4.230061175	2633.197347	12.2242413	16.10000038	176200625		3.761	53.3021149	0.506	0.36	0.608	0.657	0.615	0.901	0.808	0.867	8	0	1	8	0	1	0	1	1	0	0	1	0	1	1	0.09315968624	0	False Negative
2016	1	4	2	4	2	2	1	6	-1.616868949	2070.412734	15.69681264	24.13750076	195443700		4.499	56.54103879	0.555	0.395	0.626	0.669	0.616	0.902	0.841	0.871	10	0	1	11	-1	1	0	1	1	0	0	2	0	1	1	0.0710820357	0	False Negative
2015	0	3	1	4				1	-0.8426562521	7458.489178	10.40229336	25	6531819	56.90490733	19.69	87.81591034	0.285	0.172	0.149	0.434	0.457	0.705	0.576	0.591	11	0	1	9	2	1	0	1	1	0	0	0	0	1	1	0.0431854236	0	False Negative
2021	1	4	2	4	1	1	0	4	6.942524926	895.5352884	3.653267618	18.1522007	21995243	62.42035866	4.511	26.81143077	0.634	0.456	0.827	0.688	0.471	0.81	0.891	0.882	18	0	1	19	-1	2	0	1	2	0	0	3	0	1	1	0.01508892636	0	False Negative
2018	1	4	1	4	1	2	1	4	1.922757342	2057.879446	12.09510652	27.74370003	204938755		5.069	58.15533475	0.555	0.391	0.634	0.661	0.62	0.888	0.846	0.87	15	0	1	13	2	2	0	1	1	0	1	1	0	1	1	0.01269565377	0	False Negative
2021	1	4	2	4	1	1	1	10	3.100941244	1027.273454	3.925602831	33.95650101	22388630	56.71505256	4.006	29.70496383	0.243	0.155	0.656	0.423	0.485	0.766	0.681	0.768	18	0	1	19	-1	2	0	1	2	0	0	9	0	1	1	0.003245117746	0	False Negative
2024	1	4	2	4	1	2	1	13	4.992269175	1094.619493	3.206398641	36.80149841	24478595	49.89604143	2.924	31.60756212	0.192	0.141	0.597	0.428	0.525	0.589	0.449	0.659	20	0	1	20	0	3	0	1	3	0	0	11	0	1	1	0.002829562512	0	False Negative
2024	0	4	2	5				1	-4.169633958	2142.623305	26.94905641	47.8614006	11772557	22.24788537	14.609	55.03726525	0.237	0.101	0.486	0.25	0.31	0.79	0.612	0.478	2	0	1	1	1	1	0	1				0	0	1	1	0.0009900952958	0	False Negative
2016	0	3	1	3				1	7.14945675	2985.19564	1.253698801	39.20000076	106735719	61.77606577	2.695	51.91147482	0.485	0.346	0.632	0.653	0.623	0.772	0.747	0.823	13	0	1	10	3	3	0	1	2	0	1	0	0	1	1	0.0003630128919	0	False Negative
2023	1	3	1	2	1	1	0	11	1.826520495	52003.72007	4.225226032	87.03842615	9849000	57.99032071	3.371	91.50895698	0.704	0.616	0.856	0.885	0.599	0.842	0.759	0.803	8	0	1	6	2	1	0	1	1	0	0	10	0	1	1	1.72E-08	0	False Negative
2022	1	3	1	2	1	1	1	62	6.263263438	54949.62156	4.411627255	91.85079615	9557500	60.64485267	3.695	91.49798343	0.714	0.64	0.915	0.914	0.594	0.853	0.773	0.784	6	0	1	7	-1	1	0	1	1	0	0	60	0	1	1	3.22E-09	0	False Negative
